<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AAPL.US,5,20200814,180500,114.08,114.28,114.07,114.28,1375780,0
AAPL.US,5,20200814,181000,114.28,114.37,114.13,114.18,2160492,0
AAPL.US,5,20200814,181500,114.18,114.35,114.15,114.24,1053660,0
AAPL.US,5,20200814,182000,114.24,114.42,114.2,114.37,1274524,0
AAPL.US,5,20200814,182500,114.37,114.47,114.23,114.41,1358172,0
AAPL.US,5,20200814,183000,114.42,114.54,114.35,114.53,989344,0
AAPL.US,5,20200814,183500,114.53,114.69,114.43,114.68,1690376,0
AAPL.US,5,20200814,184000,114.68,114.75,114.63,114.68,1965396,0
AAPL.US,5,20200814,184500,114.68,114.87,114.68,114.75,1960956,0
AAPL.US,5,20200814,185000,114.76,114.8,114.57,114.72,1618536,0
AAPL.US,5,20200814,185500,114.72,114.82,114.53,114.59,1823384,0
AAPL.US,5,20200814,190000,114.58,114.66,114.43,114.45,1439720,0
AAPL.US,5,20200814,190500,114.45,114.56,114.35,114.4,1231372,0
AAPL.US,5,20200814,191000,114.4,114.67,114.38,114.64,1338472,0
AAPL.US,5,20200814,191500,114.64,114.82,114.6,114.79,1741964,0
AAPL.US,5,20200814,192000,114.79,114.8,114.68,114.75,1040024,0
AAPL.US,5,20200814,192500,114.75,114.82,114.68,114.79,812048,0
AAPL.US,5,20200814,193000,114.78,114.83,114.65,114.68,1098456,0
AAPL.US,5,20200814,193500,114.68,114.73,114.53,114.72,1077608,0
AAPL.US,5,20200814,194000,114.73,114.77,114.56,114.59,1004008,0
AAPL.US,5,20200814,194500,114.59,114.68,114.57,114.59,740980,0
AAPL.US,5,20200814,195000,114.58,114.59,114.43,114.5,1162464,0
AAPL.US,5,20200814,195500,114.49,114.66,114.45,114.66,962804,0
AAPL.US,5,20200814,200000,114.65,114.68,114.47,114.5,780596,0
AAPL.US,5,20200814,200500,114.49,114.56,114.41,114.52,716928,0
AAPL.US,5,20200814,201000,114.52,114.6,114.43,114.49,671068,0
AAPL.US,5,20200814,201500,114.48,114.54,114.29,114.31,860724,0
AAPL.US,5,20200814,202000,114.3,114.35,114.24,114.3,1026980,0
AAPL.US,5,20200814,202500,114.29,114.32,114.14,114.32,1121204,0
AAPL.US,5,20200814,203000,114.32,114.47,114.32,114.47,936928,0
AAPL.US,5,20200814,203500,114.48,114.49,114.33,114.37,882160,0
AAPL.US,5,20200814,204000,114.37,114.43,114.28,114.41,875592,0
AAPL.US,5,20200814,204500,114.41,114.42,114.33,114.36,562080,0
AAPL.US,5,20200814,205000,114.35,114.41,114.28,114.31,622728,0
AAPL.US,5,20200814,205500,114.32,114.35,114.23,114.29,679528,0
AAPL.US,5,20200814,210000,114.28,114.29,114.11,114.26,1145820,0
AAPL.US,5,20200814,210500,114.26,114.46,114.26,114.34,1227624,0
AAPL.US,5,20200814,211000,114.33,114.33,114.01,114.1,1319240,0
AAPL.US,5,20200814,211500,114.1,114.12,113.97,114.01,1129152,0
AAPL.US,5,20200814,212000,114.02,114.19,114.02,114.07,1075488,0
AAPL.US,5,20200814,212500,114.07,114.25,114,114.17,1209076,0
AAPL.US,5,20200814,213000,114.17,114.38,114.05,114.3,1332604,0
AAPL.US,5,20200814,213500,114.29,114.5,114.23,114.49,1349904,0
AAPL.US,5,20200814,214000,114.49,114.49,114.32,114.43,1392620,0
AAPL.US,5,20200814,214500,114.42,114.5,114.39,114.44,1147724,0
AAPL.US,5,20200814,215000,114.44,114.99,114.43,114.96,3052416,0
AAPL.US,5,20200814,215500,114.96,115,114.85,114.91,6666684,0
AAPL.US,5,20200817,153000,116.06,116.09,115.3,115.38,5088572,0
AAPL.US,5,20200817,153500,115.39,115.69,115.32,115.4,2622268,0
AAPL.US,5,20200817,154000,115.41,115.52,115.18,115.39,1918604,0
AAPL.US,5,20200817,154500,115.39,115.63,115.39,115.51,1904480,0
