<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200814,215500,330.16,330.39,329.2,330.14,1548600,0
TSLA.US,5,20200817,153000,335.4,341.4,334.57,340.39,2252340,0
TSLA.US,5,20200817,153500,340.31,343.1,339.72,341.12,1403300,0
TSLA.US,5,20200817,154000,341.23,343.49,341.06,341.99,782350,0
TSLA.US,5,20200817,154500,342.2,345.29,342.2,342.9,1360250,0
TSLA.US,5,20200817,155000,343.06,344.8,342.98,343.88,591275,0
TSLA.US,5,20200817,155500,343.86,348.96,343.86,348.52,1400885,0
TSLA.US,5,20200817,160000,348.73,351,348.52,350.68,1758680,0
TSLA.US,5,20200817,160500,350.57,350.91,347.7,348.31,1049735,0
TSLA.US,5,20200817,161000,348.39,349.56,347.19,349.1,730065,0
TSLA.US,5,20200817,161500,349.18,349.51,347.4,347.68,581555,0
TSLA.US,5,20200817,162000,347.76,350.29,347.55,349.29,1014095,0
TSLA.US,5,20200817,162500,349.35,353.06,348.62,352.98,1332990,0
TSLA.US,5,20200817,163000,352.88,355.8,352.25,354.67,1247295,0
TSLA.US,5,20200817,163500,354.62,357.5,354.25,355.6,1238165,0
TSLA.US,5,20200817,164000,355.43,356.1,353.36,354.58,939540,0
TSLA.US,5,20200817,164500,354.57,357.18,353.54,356.47,845730,0
TSLA.US,5,20200817,165000,356.53,358.6,356,356.89,1035145,0
TSLA.US,5,20200817,165500,356.92,357.19,354.22,355.54,872555,0
TSLA.US,5,20200817,170000,355.6,355.6,353.06,354.25,938990,0
TSLA.US,5,20200817,170500,354.37,356.24,353.93,354.23,704275,0
TSLA.US,5,20200817,171000,354.3,355.77,353.52,355.63,473210,0
TSLA.US,5,20200817,171500,355.69,355.69,353.59,354.13,419590,0
TSLA.US,5,20200817,172000,354.03,354.6,352.24,352.85,479005,0
TSLA.US,5,20200817,172500,352.63,354.2,351.8,354,543650,0
TSLA.US,5,20200817,173000,354.06,354.26,352.8,353,352895,0
TSLA.US,5,20200817,173500,353.01,353.62,351.47,351.69,368355,0
TSLA.US,5,20200817,174000,351.62,351.97,350.7,351.45,424400,0
TSLA.US,5,20200817,174500,351.49,353.27,351.49,353.13,397850,0
TSLA.US,5,20200817,175000,353.27,354,352.65,352.9,377015,0
TSLA.US,5,20200817,175500,353.06,355.6,353,355.16,501095,0
TSLA.US,5,20200817,180000,355.25,356.87,354.82,356.54,531540,0
TSLA.US,5,20200817,180500,356.53,357.08,355.8,356.81,465605,0
TSLA.US,5,20200817,181000,356.8,356.96,354.84,355.14,339345,0
TSLA.US,5,20200817,181500,355.1,355.8,354.71,355.32,252535,0
TSLA.US,5,20200817,182000,355.39,357.91,355.11,357.67,473375,0
TSLA.US,5,20200817,182500,357.86,359.4,357.2,357.27,1035095,0
TSLA.US,5,20200817,183000,357.26,357.96,356.8,357.6,342530,0
TSLA.US,5,20200817,183500,357.78,358.8,356.24,356.9,458655,0
TSLA.US,5,20200817,184000,356.91,357.2,355.6,356.07,381790,0
TSLA.US,5,20200817,184500,356.18,357.4,356.1,356.69,220075,0
TSLA.US,5,20200817,185000,356.8,357.58,356.25,356.62,166465,0
TSLA.US,5,20200817,185500,356.61,357.08,355.6,356.86,230320,0
TSLA.US,5,20200817,190000,356.62,357.16,355.92,356.83,192340,0
TSLA.US,5,20200817,190500,356.83,357.15,355.83,356.76,223740,0
TSLA.US,5,20200817,191000,356.96,357.15,356.39,357.08,176850,0
TSLA.US,5,20200817,191500,357.16,358.8,357.16,358.39,654680,0
TSLA.US,5,20200817,192000,358.17,358.29,356.2,357.24,290170,0
TSLA.US,5,20200817,192500,357.37,357.77,356.6,356.99,197960,0
TSLA.US,5,20200817,193000,357,358.15,356.45,357.95,238570,0
TSLA.US,5,20200817,193500,357.9,358.39,356.85,357.08,252530,0
TSLA.US,5,20200817,194000,357.2,358.62,357.15,357.94,315460,0
TSLA.US,5,20200817,194500,357.92,358.2,356.82,357.68,227115,0
TSLA.US,5,20200817,195000,357.76,358.19,356.43,356.6,248130,0
TSLA.US,5,20200817,195500,356.68,357.16,355.6,356.67,406965,0
TSLA.US,5,20200817,200000,356.45,357,355.11,355.79,286135,0
TSLA.US,5,20200817,200500,355.9,357,355.2,356.71,234135,0
TSLA.US,5,20200817,201000,356.72,359.8,356.72,359.4,780540,0
TSLA.US,5,20200817,201500,359.45,361,358.8,359.76,1107785,0
TSLA.US,5,20200817,202000,359.76,360,357.74,359.03,578880,0
TSLA.US,5,20200817,202500,359.03,360.6,358.8,359.76,375635,0
TSLA.US,5,20200817,203000,359.62,360.2,359.28,360.13,288060,0
TSLA.US,5,20200817,203500,360.12,361.56,360.07,360.57,760865,0
TSLA.US,5,20200817,204000,360.39,361.2,359.64,361,387805,0
TSLA.US,5,20200817,204500,361.03,361.77,361,361.26,392285,0
TSLA.US,5,20200817,205000,361.12,361.61,360.29,361.45,274740,0
TSLA.US,5,20200817,205500,361.31,363.29,361,363.29,874195,0
TSLA.US,5,20200817,210000,363.29,363.38,362.21,362.81,362930,0
TSLA.US,5,20200817,210500,362.6,363.38,361.72,363.38,583595,0
TSLA.US,5,20200817,211000,363.38,363.78,362.64,363.47,454155,0
TSLA.US,5,20200817,211500,363.34,365,363,364.99,791405,0
TSLA.US,5,20200817,212000,364.96,367.2,364.7,366.94,975920,0
TSLA.US,5,20200817,212500,366.99,367.2,365.2,366.26,764835,0
TSLA.US,5,20200817,213000,366.21,366.27,364.22,365.69,605495,0
TSLA.US,5,20200817,213500,365.63,367.2,364.71,366.66,633875,0
TSLA.US,5,20200817,214000,366.6,368.6,366.5,368.45,844405,0
TSLA.US,5,20200817,214500,368.53,369.17,366.96,367.37,799820,0
TSLA.US,5,20200817,215000,367.49,368.38,366.4,367.28,728735,0
TSLA.US,5,20200817,215500,367.37,367.69,366.2,367.13,1950595,0
TSLA.US,5,20200818,153000,379.8,384.78,377.21,379.64,3434585,0
TSLA.US,5,20200818,153500,379.73,383.51,376.6,377.28,1837975,0
TSLA.US,5,20200818,154000,377.38,378.2,373.89,374.49,1924285,0
TSLA.US,5,20200818,154500,374.3,376.96,372,375.7,1716180,0
TSLA.US,5,20200818,155000,375.63,375.63,369.02,369.93,1787110,0
TSLA.US,5,20200818,155500,369.69,375.5,369.53,375.5,1112990,0
TSLA.US,5,20200818,160000,375.41,377,374.12,376.51,845245,0
